Label,author,conditions,lock,weight,question,yes_answer,yes_response,Morale,Quality,Schedule,Budget,yes_outcome,no_answer,no_response,Morale,Quality,Schedule,Budget,no_outcome,Author
,INTERN,find_the_leak == true;,200,50,I'm sorry! I took a selfie at my desk and the game was on my computer screen!,Don't let it happen again. ,It won't I swear!,10,0,0,10,find_the_leak = false,There will be repurcussions for this.,"I know, I'm sorry.",-5,5,5,5,,Cassidy
,MARKETING,,200,50,A journalist wrote a hit piece on our game! What should we do? ,Let's set the record straight.,On it!,0,0,0,0,hit_piece_interview = true,Stay silent.,"Ah, the mystery campaign.",-5,,,-5,,Cassidy
,INTERVIEWER,hit_piece_interview == true;,200,50,There are rumors that this genre of game is dead. Why are you wasting your time on it?,We'll show you wrong!,Our readers don't believe you.,20,0,0,-10,,"Maybe, but we still believe in it.",We'll see if the sales reflect that.,10,,,-5,,Cassidy
,PROGRAMMER,,200,50,Should we structure our code so it is complex and efficient or easy to follow but inefficient? ,"Efficient, we know what's going on.",My thoughts exactly. ,-10,10,0,0,,Easy to follow.,"I guess that works, too.",5,,-5,,,Cassidy
,CEO,stats.budget < 30;,200,50,Ubersoft has offered to buy part of the company.,Good! Let them! ,"All right, we can do that.",-30,-20,0,80,has_been_bought_minor = true,Tell them no.,I'll see what I can do.,,,,,,Cassidy
,UBERSOFT CEO,has_been_bought_minor == true;,200,50,"Hello! Welcome to the Ubersoft Umbrella, can't wait to work with you!",Good to meet you.,Look forward to working with you more!,0,0,0,0,"this could have different ideas like - employee conflicts, ceo conflicts, idea conflicts, Ubersoft enforcing their ideas,conspiracy, a chance to buy back a stake, etc. ",…,"The silent type, I respect that!",,,,,,Cassidy
,INTERN,,200,50,"You send me to get coffee everyday, why don't we hire a barrista full time? ",Wonderful idea! ,Thank you!,10,0,0,-10,,Not right now.,No problem! ,-5,,,5,,Cassidy
,PROGRAMMER,,200,50,What would you think if we changed our programming language?,"…If you think it'll work, go for it.",I'll get started!,0,-10,20,-10,,… Sounds like a lot of unneeded work.,Maybe another time.,,5,,5,,Cassidy
,PRODUCER,,200,50,"I've been hearing good things on Standing Desks, can we get them?",Sounds great!,I'll get them ordered! ,10,10,0,-10,,Standing? At work? Crazy!,Some other time then!,-5,,,5,,Cassidy
,HUMAN RESOURCES,stats.morale > 80 &&(stats.quality < 40 || stats.schedule < 40),200,50,"The employees are getting a little reckless, we should remind them of the office rules.",I'll send an email.,Thank you!,-20,10,10,0,,Eh... everything is fine.,If you say so.,5,-5,-5,,,Cassidy
,HUMAN RESOURCES,,200,50,Its time for the Employee Handbook Meeting!,Okay!,I'll set up the meeting!,-10,10,10,0,,Do we have to?,"I mean… no, but its good for our employees.",5,-5,-5,,,Cassidy
,CEO,stats.budget < 30;,200,50,We're over budget this quarter. We need to cut benefits or staff.,Cut benefits.,I'll draft the email.,-10,-10,0,20,,Cut employees.,I'll draft the email.,-10,,,10,,Cassidy
,ARTIST,,200,50,I'm not feeling our main characters. Could we take some time to iterate on it? ,Go for it.,Thank you!,0,10,-10,0,,What we have is fine.,Okay.,,-5,5,,,Cassidy
,PRODUCER,,200,50,The ARTISTs turned in their work ahead of schedule!,Great!,I know! ,0,0,10,0,,Super!,I know! ,,,5,,,Cassidy
,PROGRAMMER,,200,50,StackUnderflow had the code base we need! That saves us time!,Perfect!,I'll put it in now. ,0,0,10,0,,Superb!,I'll put it in now. ,,,5,,,Cassidy
,QA LEAD,stats.quality > 80;,200,50,The quality of our game is too high. Our testers can't play it on low end devices.,Let's back off the quality a bit.,Sounds great.,0,-20,10,10,,Buy better devices.,"Sure, we can do that, but our players can't.",-5,,,-5,,Cassidy
,HUMAN RESOURCES,,200,50,"We've been asked to run a blood drive, should we ask the employees to participate?",Yes we should!,I'll send the email!,10,0,-10,0,,We're a bit behind schedule.,Maybe next time.,-5,,5,,,Cassidy
,PRODUCER,,200,50,The internet went down. We can't do anything.,Great.,It's like we live in the stone age.,0,0,-10,0,,Excellent.,It's like we live in the stone age.,,,-5,,,Cassidy
,CEO,,200,50,We're getting news of hackers getting player information. What should we do? ,Stop them.,I'll call an IT Security firm.,0,10,0,-10,,Humiliate them.,I'll see what I can do.,5,,,-5,,Cassidy
,QA LEAD,,200,50,"We're finding bugs that make the game more fun, what should we do? ",Fix them.,Sounds good.,0,10,10,0,,Keep them in. ,Okay. It is pretty funny.,5,,,5,,Cassidy
,PRODUCER,,200,50,We should have everyone take a day to playtest the game.,Great idea.,I'll schedule it.,10,10,-20,0,,We don't have the time.,Good point.,,-5,10,-5,,Cassidy
,PRODUCER,stats.time > 80;,200,50,We're running too far ahead. We're not going to be in our release window.,Let's slow it down.,I'll let the team know.,10,10,-20,0,,Keep pushing forward.,I'll tell them to keep working.,-5,-5,5,-5,,Cassidy
,HUMAN RESOURCES,,200,50,We should hold a career fair to recruit new talent.,Sounds like fun! ,I'll call around!,0,10,0,-10,,We're pretty set right now.,Good point.,,-5,,5,,Cassidy
,PRODUCER,stats.time > 70;,200,50,"This sprint is running ahead of schedule, can I squeeze a couple 'tiny' things in? ",Go ahead.,Great!,0,-10,-30,0,,"No, we're good.","Okay, I'll put it in the next one.",5,5,,,,Cassidy
,PRODUCER,stats.time < 30;,200,50,"This sprint is running behind schedule, can I cut some items?",Go ahead.,Great!,0,-10,20,0,,We'll be fine.,I'll see what we can do.,-5,5,-5,,,Cassidy
,PRODUCER,,200,50,We should take a little time for a post mortem of our games to learn about them.,Great idea! ,I'm on it!,0,20,-10,0,,We don't have time now. ,Maybe later then. ,,-5,5,,,Cassidy
,CEO,,200,50,We should get everyone to take a Lean Methodologies training course for efficiency.,I’m game. ,I'll call around.,0,10,20,-10,,Lean - what now?,Maybe a different time.,,-5,-5,,,Cassidy
,ARTIST,,200,50,"I don't know if anyone has said this recently, but making games is really cool.",Yes it is. ,I'm glad I'm here!,0,0,0,0,,Back to work. ,"I know, just reminding you.",,,,,,Cassidy
,MASTER CODER,pets_allowed == true,200,50,"I don't want to be the bad guy, but the pets make the office very smelly.",Just ignore it.,That's…harder than it should be. ,-10,-10,0,0,,Solution: No more pets.,Thank you.,-10,5,5,,,Cassidy
,ARTIST,,200,50,Should we make this scene a full cutscene or just dialogue?,Full cutscene! ,I'll talk to the writers!,0,10,-10,0,,Just dialogue will suffice.,Perfect! Thanks!,,-5,5,,,Cassidy
,ARTIST,,200,50,Should we do a pre-rendered cutscene here or go with full motion video in this scene?,Pre-Rendered please!,I'll talk to the artist! ,0,10,0,-10,,Full Motion Video!,I'll work with the sound designer! ,,5,,-5,,Cassidy
,MARKETING,,200,50,Should we spend the money for localization of the top 5 languages?,Yes we should!,I'll look into a translating team!,0,10,-10,-30,localization_complete = true;,Not right now. One language is fine.,No problem! Just thought we'd branch out.,,,5,5,,Cassidy
,MARKETING,localization_complete == true;,200,50,It is a good thing we did the localization! We are getting a ton of copies ordered!,Way to go!,Thank you!,20,0,0,50,,Good idea!,One of many!,10,,,25,,Cassidy
,CEO,,200,50,We should make the employees sign an NDA for privacy reasons.,Good idea.,I'll send the memo.,-10,10,0,0,,Do you not trust our employees?,Loyalty is a hard concept nowadays. ,-5,5,,,,Cassidy
,INTERN,stats.morale < 40;,200,50,We had to write an essay on our work history. I wrote about how nice it is to work here. ,"Aww, thanks!",No problem!,10,0,0,0,,I'm glad we had a positive impact on you. ,Every day is the best day!,5,,,,,Cassidy
,CEO,,200,50,The IT department informed me of a security weakness. We need to keep everyone out until it is fixed.,I'll let everyone know.,Thanks!,10,0,0,-20,,That'll put us behind schedule.,"I know, but we need to do it.",-5,,-10,,,Cassidy
,LEVEL DESIGNER,,200,50,Could we get more sticky notes? We ran out.,Didn't we just buy some?,"…Yes, but we're now out.",-10,0,0,10,,I'll get more ordered.,Thank you!,5,,,-5,,Cassidy
,LEVEL DESIGNER,stats.time < 60;,200,50,"We're ahead of schedule, is it okay if I sneak in some Easter Eggs into the game?",Go for it!,Great! I've got killer ideas.,10,0,-10,0,,Let's keep on task.,"Sure, no problem.",-5,,5,,,Cassidy
,LEVEL DESIGNER,,200,50,Could we create a character customization system?,Go crazy! ,Way ahead of you! ,10,10,-10,-10,,Do we need it?,"Umm. No, but it's nice to have.",-5,-5,5,5,,Cassidy
,LEVEL DESIGNER,,200,50,Do we have time to create a co op or competitive multiplayer system?,Great idea! Let's get on it! ,I'll start designing for it! ,10,0,-10,0,active_multiplayer = true;,It's a little too late now.,Understandable!,,,,,,Cassidy
,PROGRAMMER,active_multiplayer == true;,200,50,Do you realize how much work creating a multiplayer system is going to be?,It is a good idea! ,"I know, but it is more work for me.",0,10,-20,-10,,"Okay, scrap the idea.",Thank you. ,,,5,5,active_multiplayer = false;,Cassidy
,MARKETING,active_multiplayer == true;,200,50,Brilliant idea to add multiplayer! Pre-orders are rolling in for it. ,Great!,I'll go thank the Level Designer.,10,0,0,50,,Good! ,You're making my job easy!,5,,,25,,Cassidy
,ARTIST,,200,50,Could we buy assets for this level instead of making them?,"Sure, it'll save time. ",,10,-10,20,-10,,I'd prefer them made.,I hope I don’t get carpal tunnel,-5,5,-5,5,,Cassidy
,QA LEAD,active_multiplayer == true;,200,50,Testing the multiplayer is more cumbersome than I'd like. Can we hire temp help?,Sure.,Thank you!,-10,10,0,-20,,Could you put in a little OT? ,I guess so. ,-10,5,,-5,,Cassidy
,DESIGNER,,200,50,Could we take a little time for FPS optimization? ,Go ahead.,Thanks! ,0,10,-10,0,,"It's good enough, right? ",I guess… if the game was made in 1982.,,-5,5,,,Cassidy
,SOUND DESIGNER,,200,50,I have a neat idea. We should record the whole staff singing the main theme together.,Brilliant!,I'll get everyone together! ,10,10,-10,0,,That'll take too much time.,No problem! ,-5,,5,,,Cassidy
,PRODUCER,,200,50,"Let's be real, does anyone actually use their desk phones? We should sell them. ",What if we get a call?,We have cell phones and IMs ,0,0,0,0,,Sell them! ,Thank you! More desk space.,,,,5,,Cassidy
,MARKETING,,200,50,We've been asked to bundle our game with another smaller company. Should we do it?,Yeah! Let's help the little guy.,They'll love it!,10,0,0,10,,"No, we need to protect our IP.",Understandable. I'll let them know.,,,,10,,Cassidy
,LEVEL DESIGNER,,200,50,"I'm thinking of a flashback level, but that requires adding additional art. Can we afford that? ",Sure we can! ,Great! ,0,10,-10,-10,,Let's create backstory pickups instead.,I suppose that'll convey it as well.,,-5,5,5,,Cassidy
,PROGRAMMER,,200,50,Who wrote this code from a year ago? It is abosolute garbage!,… You did.,Right. I'll fix it.,-10,10,0,0,,"I don't know, it’s a mystery.",Oh… I'll need to clean it up. ,,5,-5,,,Cassidy
,PRODUCER,,200,50,We should kanban the to-do list to make sure everyone sees what's due when.,Good idea.,I've already started it.,0,20,20,0,,Kan-Ban? Is that like a sweet roll? ,… No. I guess we'll keep using emails. ,-5,-5,,,,Cassidy
,INTERN,,200,50,We worked on Kaizen's in school. Could I implement a few?,Sure! Let's see what you got!,,0,0,0,0,kaizen_implemented = true;,Kaizen like kaiser? We don't need that here.,"No, it’s a process improvement idea. Maybe later.",-5,,,,,Cassidy
,PROGRAMMER,kaizen_implemented == true;,200,50,"We've been reviewing our code regularily. It's taking time, but we're seeing progress!",Good keep it up!,Thank the INTERN for the idea!,10,10,-10,0,,Quantity > Quality.,Right… We'll go back to our old ways.,-5,-5,5,,,Cassidy
,ARTIST,kaizen_implemented == true;,200,50,We can re-rig the humans instread of building a new one from scratch for animations. ,Good thinking!,Thank the INTERN for the idea!,10,0,10,10,,Let's create new rigs instead.,If you say so.,-5,5,,,,Cassidy
,LEVEL DESIGNER,kaizen_implemented == true;,200,50,I've noticed I get more work done if my desk isn't cluttered with scrap paper notes. ,Good! ,Thank the INTERN for the idea!,0,0,10,10,,Don't let it harm your creativity!,I won't! … Unless I already have. Oh no. ,-5,-5,,,,Cassidy
,CEO,,200,50,Let's start getting everyone together to discuss our end goals when creating new levels.,It'll involve everyone! ,Right! Everyone will know how they fit.,10,10,-10,0,,That'll involve everyone…,"Yep, it'll take time from everyone, but it'll be for the best.",-5,5,-5,,,Cassidy
,LEVEL DESIGNER,,200,50,Could we try some AB Testing for new inventory management systems? ,Good idea!,I'll talk to QA,0,10,-10,0,,The current system is fine. ,If you think that's good.,,-5,5,,,Cassidy
,PROGRAMMER,,200,50,We need to start doing Daily Standups to get everyone on the same page!,I approve! ,Great! It'll be faster than emails.,10,10,-10,0,,Emails will be just fine.,But…Okay.,-5,,5,,,Cassidy
,QA LEAD,,200,50,Can I start sending you a daily email of what we worked on instead of 20 emails a day with updates?,Yes. Please. Too. Many. Emails.,Good thank you!,0,0,10,0,,I like the constant updates!,"Okay, but those take time.",,5,-5,,,Cassidy
,PROGRAMMER,,200,50,Can we get a better IM system? I don't like people coming to my desk to talk to me.,We'll look into it.,Thank you. Too many interruptions.,-10,10,10,-10,,The talking is part of our culture!,… Fine. ,5,,-5,5,,Cassidy
,PROGRAMMER,,200,50,Can I leave early today? ,If your work is done. Sure.,Thank you!,10,0,-10,0,,No. Why?,… I don't want to be here anymore today.,-5,,5,,,Cassidy
,INTERN,,200,50,I think I deleted key process documents.,We'll get it back! … Hopefully.,I'm sorry! ,10,-10,-10,0,,Don't touch anything else.,"Okay, I'm sorry!",-5,-5,-5,,,Cassidy
,INTERN,,200,50,I need more work to do. ,Let me think on it. ,Okay!,10,0,0,0,,Aren't there files you could sort?,I'll find some.,-5,,,,,Cassidy
,QA LEAD,,200,50,Could we invest in a bug tracking tool to help with testing?,Sure! ,Thank you!,10,10,10,-20,,Spreadsheets are fine.,I suppose so.,-5,,,10,,Cassidy
,QA LEAD,,200,50,Could we invest in AI testing programs to get through QA faster?,I suppose we can! ,Thanks!,10,10,20,-30,,Not right now.,I suppose you're right.,-5,,,5,,Cassidy
,INTERN,,200,50,I just posted untested code to Prod.,Revert it before anyone sees.,I don't know how. I'll fetch the PROGRAMMER.,0,-20,0,0,untested_code_prod_truth = true;,Maybe no one will notice?,I won't say anything.,,-10,,,untested_code_prod_lie = true;,Cassidy
,PROGRAMMER,untested_code_prod_truth == true;,200,50,Luckily it wasn't too bad. We could revert it before too many people saw it.,Good! Thank you!,No problem.,0,20,0,0,untested_code_prod_truth = false;,Hopefully the intern learned.,I hope so too.,,10,,,untested_code_prod_truth = false;,Cassidy
,QA LEAD,untested_code_prod_lie == true;,200,50,Players are reporting they can't get into the game. ,What's the problem?,Looks like bad code pushed to Prod.,-10,0,0,-20,fetch_programmer = true;,Root cause?,Looks like bad code pushed to Prod.,-5,,,-10,fetch_programmer = true;,Cassidy
,PROGRAMMER,fetch_programmer == true;,200,50,I found the bad code pushed to Prod. It is coming from the Intern's account. It is fixed now.,Good thank you!,Let's limit that in the future.,0,20,0,0,intern_punishment = true;,I'll talk to the Intern.,Better you than me.,,10,,,intern_punishment = true;,Cassidy
,INTERN,intern_punishment == true;,200,50,I’m sorry for the problem I caused.,That's how we learn.,I won't do it again.,10,0,0,0,fetch_programmer = false; intern_punishment = false;,"I'd fire you, but you're on contract.",I'll do better next time.,-5,,,,fetch_programmer = false;  intern_punishment = false;,Cassidy
,MARKETING,,200,50,I think we should get all the employees company merch for morale and advertising.,I love it! ,I'll get on it!,10,0,0,-10,,We don't need that now.,Are you sure? It's an easy advertising boost.,-5,,,5,,Cassidy
,HUMAN RESOURCES,,200,50,We should relax the dress code it'll boost morale.,Done! PJ time!,I'll let everyone know!,10,-10,0,0,,We have standards.,"Yes, we do.",-5,5,,,,Cassidy
,QA LEAD,stats.time < 40;,200,50,The QA team keeps getting shafted when other departments are late. We need to budget more time for us to review.,I'll add it.,Thank you.,0,10,-10,0,,We don't have time.,Fine. But the QA will suffer.,,-5,5,,,Cassidy
,LEVEL DESIGNER,,200,50,"I have an idea, but it may shake up our current gameplay. Should we proceed? ",Let's stick to the design docs.,Makes sense.,-10,0,0,0,,Sure! Try it!,Will do!,5,,,,gameplay_changed = true;,Cassidy
,QA LEAD,gameplay_changed == true;,200,50,The gameplay changed so much we need to do regression testing. ,Go ahead.,Thank you.,10,20,-20,-10,,"Nah, we don't need that.",That’s… not a good decision.,-5,-10,5,5,gameplay_broken = true;,Cassidy
,QA LEAD,gameplay_broken == true;,200,50,Reporters are finding the game is broken and are asking for refunds.,Let's fix it.,I'm on it.,0,10,-10,-10,gameplay_broken = false;,It's a feature?,"Okay, whatever.",-10,,,-10,gameplay_broken = false;,Cassidy
,QA LEAD,,200,50,"The testing team needs a raise. If it wasn't for us, the game would never work.",I'm convinced.,Thank you.,10,10,0,-20,,Not right now. ,"Fine, but we aren't happy. We might leave.",-5,-5,,10,,Cassidy
,HUMAN RESOURCES,,200,50,I'm getting word the PRODUCER and QA LEAD aren't getting along. We should get them together.,I'll leave you to it. ,Thank you.,10,0,-10,0,,They give results. Why change it?,I don't like that answer.,-5,-5,5,,,Cassidy
,LEVEL DESIGNER,,200,50,Hear me out - what if we make our game in VR? ,Green light!,Wha-really!? That was a joke! I’m on it!,20,0,-40,0,vr_available = true;,No.,I'll tell Marketing I won that bet.,5,,5,,,Cassidy
,PROGRAMMER,vr_available == true;,200,50,Did you give the go ahead for VR!? I don't know how to do that! ,We'll get you a course!,I don't - sigh - fine.,-10,10,0,-20,,Cancel the port.,Thank you. Don't scare me like that.,5,5,,,vr_available = false;,Cassidy
,MARKETING,vr_available == true;,200,50,"Haha we're really doing a VR port!? I couldn't believe it, I had to hear it from you.",Just for you.,Ahhh - you won't regret it!,10,0,0,20,,"Just for you, we'll cancel it.",What? Why? ,5,,15,5,vr_available = false;,Cassidy
,PRODUCER,vr_available == true;,200,50,When were you going to tell me about the VR port? That messes up my plan!,…Surprise!,This does not make me happy.,-10,0,-20,-10,,We can cancel it. I was humoring them.,Good. Thank you. You worried me.,5,,10,5,vr_available = false;,Cassidy
,QA LEAD,vr_available == true;,200,50,The testers are getting motion sickness from the port. We need to do something.,I'll talk to the Level Designer.,"Good, thank you.",-10,20,-10,0,,We should cancel the port.,Excellent idea. ,5,,5,5,vr_available = false;,Cassidy
,LEVEL DESIGNER,,200,50,This level is really long compared to others. Should we keep it for split it?,Keep it for the story.,Can do!,0,-10,10,0,,Split it for the gameplay.,Will do!,,5,-5,,,Cassidy
,SOUND DESIGNER,,200,50,"Could we upgrade our SFX mics? These are omnidirectional, we need cardioid.",Put the cardioids on the card!,Thank you!,0,10,0,-10,,Omnidirectional are fine.,"If we want all the background noise, sure.",-5,,5,,,Cassidy
,HUMAN RESOURCES,,200,50,The DESIGNERS have brought a toy gun and are firing foam bullets at each other. Should we stop them?,No! And I want in on it! ,"Okay, don't say I didn't warn you.",10,0,-10,0,,Let's put a stop to it. They had their fun.,Thank you. I'm on it.,-5,,5,,,Cassidy
,CEO,stats.time <= 0,0,10000,"This game has missed all it's milestones. It's way behind schedule, we have to cancel the game.",What!?,,0,0,0,0,"gameState = ""game over""",You've got to be kidding!,,,,,,"gameState = ""game over""",Gabriel
,CEO,stats.morale <= 0,0,10000,The team's morale is so low that we can't keep people on the project. We have to cancel the game.,What!?,,0,0,0,0,"gameState = ""game over""",You've got to be kidding!,,,,,,"gameState = ""game over""",Gabriel
,CEO,stats.quality <= 0,0,10000,This game is terrible! The quality is way below satisfactory. We have to cancel the game.,What!?,,0,0,0,0,"gameState = ""game over""",You've got to be kidding!,,,,,,"gameState = ""game over""",Gabriel
,CEO,stats.budget <= 0,0,10000,You have gone way over budget. We can't justify continuing to fund this game. We have to cancel the game.,What!?,,0,0,0,0,"gameState = ""game over""",You've got to be kidding!,,,,,,"gameState = ""game over""",Gabriel
,HUMAN RESOURCES,artistlove == 0;,100,1000,The ARTIST just asked if we have rules against dating co-workers. I defered her to you.,What am I supposed to say? ,I don't know.,0,0,0,0,artistlove++;,"Uh, thanks, I guess? ",Don't mention it. ,,,,,artistlove++;,Cassidy
,ARTIST,artistlove == 1;,100,1000,So… uh… do we have any rules against dating co-workers?,Why do you ask?,Uh - no reason.,0,0,0,0,artistlove++;,I'll talk to HR.,"No, no. No need to worry about that.",,,,,artistlove++;,Cassidy
,PROGRAMMER,artistlove == 2;,100,1000,Have you noticed the ARTIST stopping by my desk more often?,I'm sure its nothing.,Okay.,10,0,0,0,artistlove++;,Maybe you should talk to her.,I'll try.,5,,,,artistlove++;,Cassidy
,ARTIST,artistlove > 2 && artistlove < 6;,100,1000,I get warm around the PROGRAMMER's desk. Is something wrong with the A/C there?,"Uh, no, but your cheeks are red.","Wha-no. No, no no. ",10,0,0,0,artistlove++;,I'll look into it.,Thank you.,,,,,artistlove++;,Cassidy
,LEVEL DESIGNER,artistlove > 2 && artistlove < 6;,100,1000,Have you noticed the ARTIST blushes when she passes the PROGRAMMER's desk?,It is cute.,It kinda is.,10,0,0,0,artistlove++;,Not my problem.,"I know, but its funny.",-5,,,,artistlove++;,Cassidy
,HUMAN RESOURCES,artistlove > 2 && artistlove < 6;,100,1000,Have you noticed the ARTIST and PROGRAMMER have been together a lot during work?,They work together.,There may be more to it.,0,0,0,0,artistlove++;,Nothing unusual.,If you say so. ,,,,,artistlove++;,Cassidy
,ARTIST,artistlove > 5 && artist_ask_date == false;,100,1000,"I've left the PROGRAMMER 3 messages, 2 coffees, and I talk to him all the time. How has he not gotten the hint? ",Be more direct.,I can do that. ,10,0,0,0,artist_ask_date = true; artistlove++;,Not my problem.,Maybe I'll straight up ask him.,-5,,,,artist_ask_date = true; artistlove++;,Cassidy
,PROGRAMMER,artist_ask_date == true;,100,1000,How was I unaware the ARTIST had a crush on me? ,Literally everyone knows.,Woah. Howd that happen?,10,0,0,0,artistlove++;,I don't care.,"Thanks, I needed a level head here.",,,,,artistlove++;,Cassidy
,SOUND DESIGNER,artist_ask_date == true;,100,1000,I heard the ARTIST and the PROGRAMMER went out on a date last night.,"Aww, cute.",I thought so too.,10,0,0,0,artistlove++;,None of my business.,"I know, but its cute.",,,,,artistlove--;,Cassidy
,INTERN,artist_ask_date == true;,100,1000,The PROGRAMMER and ARTIST are holding hands in the breakroom.,Aww.,Yeah! Its neat!,0,0,0,0,artistlove++;,Too much PDA.,I guess so.,,,,,artistlove--;,Cassidy
,ARTIST,artistlove > 10 && breakup_initiated == false && relationship_approved == false;,100,1000,You wanted me to come in?,You can't date co-workers.,"But, I thought it was fine?",-10,0,0,0,breakup_initiated = true; artistlove -=10;,Congrats on your relationship.,"Omg, I thought we were keeping it on the downlow.",5,,,,relationship_approved = true; artistlove += 5;,Cassidy
,PROGRAMMER,breakup_initiated == true;,100,1000,"I can't stand working around the ARTIST, I need to move desks.","Sure, we can arrange that.",Thank you.,-10,-10,-10,0,,I'm not meddling in your drama.,Fine.,-10,-5,-5,,,Cassidy
,ARTIST,breakup_initiated == true;,100,1000,Have you noticed how annoying the PROGRAMMER is? I need as much distance as I can.,I'll see what we can do.,Thank you. I don't want to look at him.,0,-10,0,0,,Talk to him about it.,I'm not going near him.,-5,-5,,,,Cassidy
,HUMAN RESOURCES,breakup_initiated == true;,100,1000,You can tell the vibe in the office isn't great. The breakup didn't go well.,I can feel that.,No more dating co-workers. ,-10,0,0,0,,It feels like ice in here.,I'll figure something out.,-5,,,,,Cassidy
,HUMAN RESOURCES,relationship_approved == true;,100,1000,Have you noticed the ARTIST and PROGRAMMER are always smiling? ,It really helps morale!,It does!,20,10,10,0,artistlove++;,None of my business.,"I know, but you should be aware of it.",5,5,5,,artistlove++;,Cassidy
,ARTIST,relationship_approved == true && artistlove >= 15;,100,1000,Guess what? He proposed! We're going to be married!,Congratulations!,Its exciting!,20,10,10,10,,Way to go! Now back to work!,I'm so happy!,5,5,5,5,,Cassidy
,INTERN,internmissing == 0;,100,1000,"Hi Boss, would you mind if I took off this afternoon? ",Sure. ,Thanks.,10,0,-10,0,internmissing++;,We need you here.,I… I don't think I should. ,-5,-5,5,,internmissing++;,Cassidy
,INTERN,internmissing == 1;,100,1000,"Hi, I'm going to need to take off again this afternoon.",That's fine. I've got it down.,Thanks. ,10,0,-10,0,internmissing++;,Okay... Just don't make it a habit. ,I know. I'm trying not to.,-10,,5,,internmissing++;,Cassidy
,INTERN,internmissing == 2;,100,1000,"I'm sorry to do this, but I need this afternoon off again. ",I'm seeing a pattern.,Thanks.,10,0,-10,0,"goto(""intern_meeting"");",Do you still want this job?,"Yes, but… nevermind. ",-10,,5,,"goto(""intern_meeting"");",Cassidy
intern_meeting,INTERN,,100,0,"I'm sorry, I'm just having family problems.",I need more than that.,"Okay, I'll tell.",0,0,0,0,"goto(""intern_talk"");",Family problems are for outside of work.,"I think… Okay, fine. ",-10,,,,"goto(""intern_dismissed"");",Cassidy
intern_dismissed,LEVEL DESIGNER,,100,0,The INTERN has been down all week. Maybe you should talk to him. ,Send him in. ,Will do.,10,-10,-10,0,"goto(""intern_meet"");",I'll talk to him.,Thanks. He looks unhappy.,5,-5,-5,,"goto(""intern_meet"");",Cassidy
intern_meet,INTERN,,100,0,"I'm sorry, my grandma isn't doing well. I’m trying to spend time with her before she goes.","No problem, take the time you need.",Thank you. ,20,0,0,0,,We need you here. You can go after work.,I need to… fine. I'll do that.,-10,,,,,Cassidy
intern_talk,INTERN,,100,0,My grandma is in a nursing home. They say she doesn't have much time left. I'd like to see her.,No sweat. Take the time you need.,Thank you. ,20,0,0,0,,"I understand, but we have a business to run. ",I thought this was an understanding company.,-10,,,,,Cassidy
,SOUND DESIGNER,sounddesignhobby == 0;,100,1000,Would you mind if I used the recording booth after work hours?,"Sure, just be quick.",Can do!,10,-10,0,0,sounddesignhobby++;,"Sure, we may need to charge though.",I can afford it.,,-5,,5,sounddesignhobby++;,Cassidy
,SOUND DESIGNER,sounddesignhobby == 1;,100,1000,Could I use the booth again after work?,Sure!,Thanks!,10,0,0,0,sounddesignhobby++;,What're you using it for? ,A personal project.,,,,,"goto(""sound_proj"");",Cassidy
sound_proj,SOUND DESIGNER,,100,0,My friends and I are creating a Dungeons and Dragons podcast with voices and everything!,That sounds cool! I want in!,We can do that!,20,0,0,0,,I don't think we can allow that.,"That's what I thought, I'll find another spot.",-5,,,-5,,Cassidy
,QA LEAD,sounddesignhobby == 2;,100,1000,Have you seen what the SOUND DESIGNER does after work in the booth? It is really cool!,What is it?,Some side project.,10,0,-10,0,sounddesignhobby++;,I don't want to know.,"Okay, but you're missing out.",-5,,5,,sounddesignhobby++;,Cassidy
,CEO,sounddesignhobby == 3;,100,1000,I'm seeing the SOUND DESIGNER and LEVEL DESIGNER working on items that aren't our project.,I'm sure it is nothing.,"Check on it, will you?",0,0,0,0,sounddesignhobby++;,I'll call a meeting.,Thank you.,,,,,sounddesignhobby++;,Cassidy
,LEVEL DESIGNER,sounddesignhobby == 4;,100,1000,The SOUND DESIGNER and I are working on a project outside of work. Is that a problem?,"No, I want to know what it is.",I'll get the SOUND DESIGNER.,0,0,0,0,"goto(""sound_confront"");",Maybe. I'll call the SOUND DESIGNER.,Good call.,,,,,"goto(""sound_confront"");",Cassidy
sound_confront,SOUND DESIGNER,,100,0,You asked for me?,What is this project?,Right… Here's the thing…,0,0,0,0,"goto(""sound_explanation"");",Are you still using the booth after work?,Yeah… here's what we're doing…,,,,,"goto(""sound_explanation"");",Cassidy
sound_explanation,SOUND DESIGNER,,100,0,A couple of us are doing a DND podcast in the booth with costumes and voices. It’s a lot of fun!,Really? Can I join?,Sure! We're meeting next week! ,10,0,-10,0,"goto(""sound_dnd"");",I can't let you use the booth for that.,Okay… I understand.,-10,5,5,5,,Cassidy
sound_dnd,SOUND DESIGNER,,100,0,With a *woosh* and a *caw-caw* the Icebird approaches! What do you do? ,Fireball! ,Critical hit!,20,0,0,0,,"Uh, idk, run away?",I mean... I suppose you can.,-5,,,,,Cassidy
,PRODUCER,,200,50,"I'm not sure who to ask, but there is a sewage smell in the bathrooms.",I'll call maintenance.,Thank you. ,10,0,0,-10,,I'm sure it'll work itself out.,…maybe? Its not getting better.,-5,-5,,5,,Cassidy
